travel.time.sum,travel.time.mean,trips,cong,party,ideology,winpct,seniority,chairman,committee,party.leader,state.district,extreme,fourteenth,thirteenth,twelfth,eleventh,democrat,house.majority
2,2,1,111,100,-0.218,61.97,9,0,0,0,ND1,0.8626525,0,0,0,1,1,1
1,1,1,110,100,-0.224,65.68,8,0,0,0,ND1,0.8686525,0,0,0,0,1,1
0,0,0,112,200,0.493,54.9199017,1,0,0,0,ND1,0.8580046,0,0,1,0,0,1
42,4.666666667,9,114,200,0.295,68.8155168,6,0,0,0,NE1,0.6600046,1,0,0,0,0,1
42,5.25,8,112,200,0.543,71.3889678,3,0,0,0,NE1,0.9080046,0,0,1,0,0,1
22,3.666666667,6,113,200,0.542,68.5219317,4,0,0,0,NE1,0.9070046,0,1,0,0,0,1
16,3.2,5,111,200,0.545,70.36,2,0,0,0,NE1,0.9100046,0,0,0,1,0,0
10,5,2,110,200,0.546,58.36,1,0,0,0,NE1,0.9110046,0,0,0,0,0,0
19,3.166666667,6,113,200,0.755,51.1990301,8,0,0,0,NE2,1.1200046,0,1,0,0,0,1
23,4.6,5,114,100,-0.185,51.7635732,1,0,0,0,NE2,0.8296525,1,0,0,0,1,0
15,3.75,4,112,200,0.742,61.4417336,7,0,0,0,NE2,1.1070046,0,0,1,0,0,1
6,3,2,111,200,0.729,51.93,6,0,0,0,NE2,1.0940046,0,0,0,1,0,0
2,2,1,110,200,0.716,54.66,5,0,0,0,NE2,1.0810046,0,0,0,0,0,0
24,4.8,5,112,200,0.705,79.6812804,3,0,0,0,NE3,1.0700046,0,0,1,0,0,1
17,4.25,4,110,200,0.705,54.99,1,0,0,0,NE3,1.0700046,0,0,0,0,0,0
15,3.75,4,113,200,0.705,74.218308,4,0,0,0,NE3,1.0700046,0,1,0,0,0,1
12,4,3,114,200,0.506,75.387643,5,0,0,0,NE3,0.8710046,1,0,0,0,0,0
11,3.666666667,3,111,200,0.705,76.87,2,0,0,0,NE3,1.0700046,0,0,0,1,0,1
8,2.666666667,3,114,200,0.427,51.8035142,2,0,0,0,NH1,0.7920046,1,0,0,0,0,1
10,5,2,112,200,0.663,55.7562755,1,0,0,0,NH1,1.0280046,0,0,1,0,0,1
4,4,1,111,100,-0.311,51.73,2,0,0,0,NH1,0.9556525,0,0,0,1,1,1
3,3,1,113,100,-0.311,51.9515641,1,0,0,0,NH1,0.9556525,0,1,0,0,1,0
0,0,0,110,100,-0.311,51.27,1,0,0,0,NH1,0.9556525,0,0,0,0,1,1
24,4,6,113,100,-0.261,52.6644889,1,0,0,0,NH2,0.9056525,0,1,0,0,1,0
11,2.75,4,112,200,0.693,50.8611965,1,0,0,0,NH2,1.0580046,0,0,1,0,0,1
6,6,1,114,100,-0.259,55.0151323,3,0,0,0,NH2,0.9036525,1,0,0,0,1,0
0,0,0,110,100,-0.286,52.71,1,0,0,0,NH2,0.9306525,0,0,0,0,1,1
0,0,0,111,100,-0.286,56.4,2,0,0,0,NH2,0.9306525,0,0,0,1,1,1
41,6.833333333,6,114,100,-0.38,59.2897807,2,0,0,0,NJ1,1.0246525,1,0,0,0,1,0
